Aircraft 0 goes to Gate 2, at timeslot 9
Aircraft 1 goes to Gate 68, at timeslot 2
Aircraft 2 goes to Gate 75, at timeslot 2
Aircraft 3 goes to Gate 33, at timeslot 12
Aircraft 4 goes to Gate 88, at timeslot 14
Aircraft 5 goes to Gate 4, at timeslot 5
Aircraft 6 goes to Gate 93, at timeslot 11
Aircraft 7 goes to Gate 7, at timeslot 6
Aircraft 8 goes to Gate 95, at timeslot 4
Aircraft 9 goes to Gate 64, at timeslot 15
Aircraft 10 goes to Gate 12, at timeslot 13
Aircraft 11 goes to Gate 88, at timeslot 2
Aircraft 12 goes to Gate 51, at timeslot 12
Aircraft 13 goes to Gate 46, at timeslot 14
Aircraft 14 goes to Gate 42, at timeslot 13
Aircraft 15 goes to Gate 55, at timeslot 2
Aircraft 16 goes to Gate 86, at timeslot 1
Aircraft 17 goes to Gate 80, at timeslot 12
Aircraft 18 goes to Gate 41, at timeslot 0
Aircraft 19 goes to Gate 26, at timeslot 9
Aircraft 20 goes to Gate 50, at timeslot 0
Aircraft 21 goes to Gate 39, at timeslot 2
Aircraft 22 goes to Gate 4, at timeslot 8
Aircraft 23 goes to Gate 38, at timeslot 3
Aircraft 24 goes to Gate 54, at timeslot 13
Aircraft 25 goes to Gate 19, at timeslot 10
Aircraft 26 goes to Gate 78, at timeslot 0
Aircraft 27 goes to Gate 31, at timeslot 10
Aircraft 28 goes to Gate 54, at timeslot 11
Aircraft 29 goes to Gate 75, at timeslot 8
Aircraft 30 goes to Gate 80, at timeslot 8
Aircraft 31 goes to Gate 31, at timeslot 1
Aircraft 32 goes to Gate 33, at timeslot 0
Aircraft 33 goes to Gate 95, at timeslot 5
Aircraft 34 goes to Gate 42, at timeslot 8
Aircraft 35 goes to Gate 9, at timeslot 2
Aircraft 36 goes to Gate 26, at timeslot 15
Aircraft 37 goes to Gate 41, at timeslot 3
Aircraft 38 goes to Gate 43, at timeslot 12
Aircraft 39 goes to Gate 34, at timeslot 14
Aircraft 40 goes to Gate 12, at timeslot 5
Aircraft 41 goes to Gate 15, at timeslot 11
Aircraft 42 goes to Gate 12, at timeslot 3
Aircraft 43 goes to Gate 43, at timeslot 8
Aircraft 44 goes to Gate 47, at timeslot 6
Aircraft 45 goes to Gate 92, at timeslot 4
Aircraft 46 goes to Gate 51, at timeslot 6
Aircraft 47 goes to Gate 53, at timeslot 12
Aircraft 48 goes to Gate 65, at timeslot 3
Aircraft 49 goes to Gate 53, at timeslot 6
Aircraft 50 goes to Gate 60, at timeslot 2
Aircraft 51 goes to Gate 73, at timeslot 12
Aircraft 52 goes to Gate 52, at timeslot 12
Aircraft 53 goes to Gate 60, at timeslot 6
Aircraft 54 goes to Gate 37, at timeslot 5
Aircraft 55 goes to Gate 67, at timeslot 11
Aircraft 56 goes to Gate 42, at timeslot 5
Aircraft 57 goes to Gate 52, at timeslot 13
Aircraft 58 goes to Gate 93, at timeslot 9
Aircraft 59 goes to Gate 15, at timeslot 4
Aircraft 60 goes to Gate 27, at timeslot 6
Aircraft 61 goes to Gate 2, at timeslot 13
Aircraft 62 goes to Gate 50, at timeslot 5
Aircraft 63 goes to Gate 31, at timeslot 11
Aircraft 64 goes to Gate 77, at timeslot 15
Aircraft 65 goes to Gate 40, at timeslot 1
Aircraft 66 goes to Gate 77, at timeslot 3
Aircraft 67 goes to Gate 38, at timeslot 13
Aircraft 68 goes to Gate 92, at timeslot 3
Aircraft 69 goes to Gate 37, at timeslot 10
Aircraft 70 goes to Gate 56, at timeslot 8
Aircraft 71 goes to Gate 95, at timeslot 14
Aircraft 72 goes to Gate 38, at timeslot 9
Aircraft 73 goes to Gate 25, at timeslot 5
Aircraft 74 goes to Gate 55, at timeslot 13
Aircraft 75 goes to Gate 43, at timeslot 5 (VIP)
Aircraft 76 goes to Gate 24, at timeslot 6
Aircraft 77 goes to Gate 36, at timeslot 0
Aircraft 78 goes to Gate 68, at timeslot 9
Aircraft 79 goes to Gate 92, at timeslot 14
Aircraft 80 goes to Gate 65, at timeslot 7
Aircraft 81 goes to Gate 38, at timeslot 5
Aircraft 82 goes to Gate 12, at timeslot 15
Aircraft 83 goes to Gate 66, at timeslot 1
Aircraft 84 goes to Gate 23, at timeslot 5
Aircraft 85 goes to Gate 65, at timeslot 6
Aircraft 86 goes to Gate 20, at timeslot 12
Aircraft 87 goes to Gate 92, at timeslot 10
Aircraft 88 goes to Gate 34, at timeslot 10
Aircraft 89 goes to Gate 73, at timeslot 11
Aircraft 90 goes to Gate 52, at timeslot 6
Aircraft 91 goes to Gate 9, at timeslot 14
Aircraft 92 goes to Gate 2, at timeslot 14
Aircraft 93 goes to Gate 73, at timeslot 8
Aircraft 94 goes to Gate 58, at timeslot 7
Aircraft 95 goes to Gate 23, at timeslot 13
Aircraft 96 goes to Gate 36, at timeslot 5
Aircraft 97 goes to Gate 39, at timeslot 15
Aircraft 98 goes to Gate 19, at timeslot 11
Aircraft 99 goes to Gate 39, at timeslot 10
Aircraft 100 goes to Gate 42, at timeslot 3
Aircraft 101 goes to Gate 38, at timeslot 10
Aircraft 102 goes to Gate 50, at timeslot 2
Aircraft 103 goes to Gate 33, at timeslot 9
Aircraft 104 goes to Gate 47, at timeslot 11
Aircraft 105 goes to Gate 80, at timeslot 9
Aircraft 106 goes to Gate 67, at timeslot 3
Aircraft 107 goes to Gate 20, at timeslot 13
Aircraft 108 goes to Gate 73, at timeslot 14
Aircraft 109 goes to Gate 34, at timeslot 2
Aircraft 110 goes to Gate 86, at timeslot 5
Aircraft 111 goes to Gate 12, at timeslot 10
Aircraft 112 goes to Gate 75, at timeslot 4
Aircraft 113 goes to Gate 33, at timeslot 1
Aircraft 114 goes to Gate 19, at timeslot 5
Aircraft 115 goes to Gate 41, at timeslot 15
Aircraft 116 goes to Gate 15, at timeslot 14
Aircraft 117 goes to Gate 34, at timeslot 8
Aircraft 118 goes to Gate 95, at timeslot 3
Aircraft 119 goes to Gate 40, at timeslot 5
Aircraft 120 goes to Gate 78, at timeslot 8
Aircraft 121 goes to Gate 2, at timeslot 4
