flights,passengers,timeslot,category,VIP
0,87,5,1,0
1,285,11,0,0
2,190,15,2,0
3,122,9,1,0
4,187,6,2,0
5,253,12,0,0
6,183,4,2,0
7,129,13,0,1
8,242,6,2,0
9,194,6,1,0
10,179,2,0,0
11,254,13,1,0
12,121,13,0,0
13,287,2,0,0
14,184,4,2,0
15,75,10,2,0
16,228,15,2,0
17,70,1,0,0
18,151,2,2,0
19,196,3,2,0
20,262,9,1,0
21,189,13,1,0
22,284,13,1,0
23,206,11,0,0
24,207,3,2,0
25,192,6,0,0
26,100,15,1,0
27,118,7,2,0
28,265,0,2,0
29,265,12,1,0
30,283,3,1,0
31,291,11,2,0
32,297,13,2,0
33,272,11,2,0
34,146,3,0,0
35,136,15,1,0
36,191,6,1,0
37,283,8,2,0
38,187,10,0,0
39,57,6,1,0
40,113,11,1,0
41,111,5,1,0
42,72,1,2,0
43,107,13,0,0
44,51,15,2,0
45,178,3,1,0
46,110,2,0,0
47,259,6,0,0
48,58,13,0,0
49,266,3,0,0
50,191,15,2,0
51,165,10,0,0
52,225,6,2,0
53,284,13,2,0
54,171,7,0,1
55,250,2,1,0
56,80,8,1,0
57,121,12,2,0
58,181,0,1,0
59,248,1,2,0
60,199,11,2,0
61,99,8,1,0
62,107,6,2,0
63,53,0,2,0
64,246,0,2,1
65,74,1,0,0
66,291,2,0,0
67,93,7,1,0
68,126,7,0,0
69,76,4,1,0
70,102,14,1,0
71,130,4,2,1
72,159,10,2,0
73,165,0,1,0
74,91,1,2,0
75,260,0,0,0
76,65,8,0,0
77,114,5,1,0
78,246,6,2,0
79,75,2,2,0
80,161,14,1,1
81,276,5,2,0
82,265,4,2,0
83,185,3,1,0
84,76,0,2,0
85,203,6,0,0
86,154,2,0,0
87,72,1,2,0
88,59,11,1,0
89,245,11,0,0
90,281,9,2,0
91,176,4,2,0
92,73,12,1,0
93,175,4,1,0
94,150,13,0,0
95,205,0,2,0
96,215,9,1,0
97,107,8,1,0
98,133,7,1,0
99,216,7,0,0
100,186,6,1,0
101,82,1,2,0
102,212,10,1,0
103,60,7,1,0
104,73,2,1,0
105,193,4,0,0
106,289,5,2,0
107,137,13,0,0
108,75,6,1,0
109,249,7,2,0
110,293,2,1,0
111,142,12,0,0
112,124,13,2,0
113,240,14,1,0
114,96,0,2,1
115,210,5,1,1
116,266,2,2,0
117,201,13,0,0
118,233,12,1,0
119,115,7,1,0
120,163,12,0,0
121,127,15,2,0
122,53,9,2,1
123,178,9,1,0
124,298,7,2,0
125,255,1,2,0
126,56,1,2,0
127,102,13,1,0
128,263,4,2,0
129,248,6,0,0
130,52,5,2,0
131,126,11,2,0
132,269,6,0,0
133,199,4,0,0
134,253,1,2,0
135,57,1,0,0
136,127,14,1,0
137,250,15,2,0
138,125,5,2,0
139,126,1,2,0
140,93,2,0,0
141,70,6,2,0
142,80,12,0,0
143,86,11,0,0
144,153,2,0,0
145,57,3,2,0
146,95,15,2,0
147,246,3,2,0
148,107,2,1,0
149,290,3,2,0
150,260,0,0,0
