gates,distance,category
0,30,2
1,96,2
2,20,2
3,134,2
4,118,1
5,107,0
6,107,2
7,74,0
8,35,1
9,164,1
10,73,0
11,166,2
12,199,1
13,184,2
14,71,0
15,195,0
16,49,0
17,61,0
18,82,1
19,47,1
20,0,1
21,65,2
22,127,2
23,21,0
24,149,0
25,39,1
26,76,2
27,121,1
28,60,0
29,130,2
30,168,2
31,122,2
32,77,2
33,43,0
34,83,2
35,59,2
36,66,2
37,78,2
38,178,1
39,22,0
40,165,0
41,125,2
42,141,2
43,109,2
44,15,0
45,46,2
46,166,0
47,107,0
48,89,2
49,54,0
50,27,0
51,157,1
52,176,2
53,143,1
54,29,1
55,179,2
56,49,2
57,88,1
58,64,0
59,141,0
60,111,1
61,52,2
62,94,1
63,59,1
64,34,0
65,131,2
66,192,2
67,80,1
68,92,0
69,185,0
70,121,1
71,128,1
72,137,0
73,38,0
74,17,1
75,141,0
76,42,1
77,115,2
78,180,0
79,9,1
80,166,0
81,25,0
82,57,2
83,51,2
84,197,1
85,53,2
86,111,0
87,89,0
88,69,0
89,157,2
90,90,2
91,190,2
92,148,2
93,183,2
94,122,2
95,129,2
